mode,feature_set,feature_set_desc,condition,condition_desc,classifier,n_seeds,kappa_mean,kappa_std,kappa_ci_lo,kappa_ci_hi,acc_mean,acc_std,acc_ci_lo,acc_ci_hi,f1_asphyxia_mean,f1_asphyxia_std,f1_deaf_mean,f1_deaf_std,f1_hunger_mean,f1_hunger_std,f1_normal_mean,f1_normal_std,f1_pain_mean,f1_pain_std,sensitivity_mean,sensitivity_std,sensitivity_ci_lo,sensitivity_ci_hi,specificity_mean,specificity_std,specificity_ci_lo,specificity_ci_hi,auc_mean,auc_std,auc_ci_lo,auc_ci_hi,f1_healthy_mean,f1_healthy_std,f1_pathology_mean,f1_pathology_std
binary,D,FOSP+comp+EEFGabor (k=60),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),RandomForest,5,0.7089,0.0043,0.703,0.7132,0.8545,0.0022,0.8515,0.8567,,,,,,,,,,,0.831,0.0036,0.8263,0.8357,0.8818,0.0016,0.88,0.8837,0.9181,0.0014,0.9161,0.92,0.8486,0.0021,0.8599,0.0023
binary,E,FOSP+comp+EEFGabor (FisherVec),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),MLP,5,0.97,0.0027,0.9658,0.9732,0.9851,0.0013,0.983,0.9867,,,,,,,,,,,0.9879,0.0018,0.9861,0.9907,0.9819,0.0021,0.9791,0.9846,0.997,0.001,0.9955,0.9981,0.9839,0.0014,0.9862,0.0012
binary,E,FOSP+comp+EEFGabor (FisherVec),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-lineal,5,0.9516,0.0038,0.9454,0.9548,0.9759,0.0019,0.9729,0.9775,,,,,,,,,,,0.9788,0.0019,0.977,0.9811,0.9725,0.0028,0.9681,0.9759,0.9926,0.0014,0.9907,0.9941,0.9739,0.0021,0.9776,0.0018
binary,E,FOSP+comp+EEFGabor (FisherVec),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-RBF,5,0.9675,0.0023,0.9654,0.9706,0.9839,0.0011,0.9828,0.9854,,,,,,,,,,,0.9933,0.0022,0.9903,0.9965,0.9729,0.0037,0.9696,0.9793,0.9972,0.0007,0.9963,0.9981,0.9824,0.0013,0.9851,0.001
binary,E,FOSP+comp+EEFGabor (FisherVec),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-polinomial,5,0.9452,0.0194,0.9137,0.9679,0.9727,0.0097,0.9569,0.984,,,,,,,,,,,0.9624,0.0188,0.9312,0.9829,0.9846,0.0028,0.9803,0.9875,0.9959,0.0005,0.9952,0.9963,0.971,0.01,0.9742,0.0095
binary,E,FOSP+comp+EEFGabor (FisherVec),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),kNN,5,0.9462,0.0074,0.9367,0.9547,0.9732,0.0037,0.9684,0.9775,,,,,,,,,,,0.9647,0.0079,0.9545,0.975,0.983,0.0021,0.9794,0.9847,0.995,0.0012,0.9934,0.9964,0.9714,0.0038,0.9748,0.0036
binary,E,FOSP+comp+EEFGabor (FisherVec),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),RandomForest,5,0.9522,0.005,0.9461,0.9596,0.9763,0.0025,0.9733,0.9799,,,,,,,,,,,0.9926,0.0025,0.9883,0.9949,0.9573,0.0036,0.9534,0.9625,0.9969,0.0002,0.9967,0.9972,0.9739,0.0027,0.9783,0.0023
binary,E,FOSP+comp+EEFGabor (FisherVec),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),MLP,5,0.7159,0.0125,0.7038,0.7366,0.8576,0.0062,0.8515,0.8679,,,,,,,,,,,0.8164,0.0056,0.8092,0.824,0.9054,0.01,0.8953,0.9201,0.9268,0.0106,0.9117,0.9397,0.8547,0.0067,0.8604,0.0059
binary,E,FOSP+comp+EEFGabor (FisherVec),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-lineal,5,0.6853,0.0154,0.6619,0.7047,0.8421,0.0077,0.8304,0.8518,,,,,,,,,,,0.7956,0.0054,0.7874,0.8021,0.8961,0.0116,0.8801,0.9101,0.8594,0.0137,0.8403,0.8795,0.8399,0.0082,0.8441,0.0072
binary,E,FOSP+comp+EEFGabor (FisherVec),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-RBF,5,0.699,0.016,0.6728,0.7143,0.8499,0.0078,0.8371,0.8574,,,,,,,,,,,0.8422,0.0031,0.8385,0.8463,0.8589,0.0163,0.8346,0.875,0.8789,0.0117,0.8693,0.8989,0.841,0.0095,0.8578,0.0065
binary,E,FOSP+comp+EEFGabor (FisherVec),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-polinomial,5,0.5793,0.0207,0.5491,0.6081,0.7884,0.0107,0.7724,0.803,,,,,,,,,,,0.7306,0.0233,0.6918,0.7518,0.8555,0.0151,0.834,0.8708,0.9038,0.0117,0.8913,0.9204,0.789,0.009,0.7875,0.0135
binary,E,FOSP+comp+EEFGabor (FisherVec),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),kNN,5,0.7106,0.0369,0.66,0.7501,0.8544,0.019,0.8283,0.8747,,,,,,,,,,,0.7929,0.0374,0.7416,0.831,0.9258,0.0083,0.9118,0.9332,0.8997,0.0085,0.8901,0.9102,0.855,0.016,0.8536,0.0223
binary,E,FOSP+comp+EEFGabor (FisherVec),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),RandomForest,5,0.7418,0.0068,0.732,0.7514,0.8709,0.0034,0.866,0.8757,,,,,,,,,,,0.844,0.0046,0.8385,0.8491,0.9022,0.0055,0.8945,0.9075,0.9025,0.0019,0.9002,0.905,0.866,0.0036,0.8754,0.0033
